Categoría,Descripción categoría,Comentarios de Idony,Colores recomendados,Colores a evitar,Productos Idony recomendados,Color Palette (descriptiva),Color Palette (HEX solo)
Primavera Brillante,"Piel clara cálida con ojos brillantes, contraste alto.",Tu piel pide luz y contraste. Los colores vibrantes despiertan tu energía y resaltan el brillo natural de tus ojos. ,"Tonos luminosos, saturados y cálidos con subtono dorado: corales vivos, rojos amapola, verdes esmeralda, turquesas y amarillos sol radiante. Reflejan energía y vivacidad.","Tonos opacos o terrosos que apagan el brillo natural (beiges apagados, marrones fangosos, grises verdosos).","003F0C3AA01 Lip Bloom Oil & Tint Clover Club, 00384555701 Lip Grace Mystique Girl, 005AE446801 Dream Paint Blush Ibiza","coral intenso, melocotón dorado, verde esmeralda, turquesa, amarillo sol","#FF6F61, #FFB347, #00B894, #40E0D0, #FFD54F"
Primavera Clara,"Piel clara cálida, cabello rubio dorado/avellana claro, ojos claros. Contraste bajo.","Delicadeza luminosa. Tu belleza desprende frescura y se potencia con tonos suaves, cálidos y traslúcidos, como si el sol se reflejara en tu piel.","Tonos cálidos, claros y transparentes: melocotón suave, coral claro, verde agua, amarillo mantequilla, rosa albaricoque. Transmiten frescura y ligereza.","Tonos muy oscuros o fríos (rojos borgoña, negros, azul marino intenso).","003F0C3AA01 Lip Bloom Oil & Tint Clover Club, 01AE645B01 Lip Grace Creamy Matte Lipstick Peach Cosmo, 005AE446801 Dream Paint Blush Ibiza Satin, 002B4786201 Ethereal Luminizer Stick Highlighter Stardust ","melocotón claro, rosa coral suave, verde agua, amarillo pastel, menta pálida","#FFDAB9, #F7A8A4, #B5EAD7, #FFF5BA, #A8E6CF"
Primavera Cálida,"Piel cálida dorada, cabello dorado o cobrizo, ojos verdes/avellana. Contraste medio.","Radiante y dorada. Brillas con tonos bañados por el sol: naranjas suaves, terracotas y corales cálidos que parecen respirar verano.","Tonos dorados, cálidos y mediterráneos: naranjas vivos, terracotas soleados, dorado miel, verde oliva cálido, coral tostado.",Tonos fríos azulados que restan calidez.,"006FF6E7801 Dream Paint Bronzer Sugar Cane, 003AF4B5501 Lip Bloom Oil & Tint Barbados, 001B5494E01 Lip Grace Creamy Matte Lipstick Kalahari, 002B4786201 Ethereal Luminizer Stick Highlighter Stardust","salmón cálido, dorado miel, terracota tostado, bronce suave, coral anaranjado","#FFA07A, #E49B0F, #D2691E, #CD853F, #FF7F50"
Verano Suave,"Piel fría con matiz rosado/oliva, cabello castaño medio ceniza, ojos verde-grisáceo. Contraste bajo.","Todo en ti es equilibrio. Tu luz se revela en la sutileza: tonos fríos, empolvados y armoniosos que acarician sin imponerse.","Tonos fríos y apagados, con base gris perla o malva: rosa viejo, lavanda grisáceo, azul pizarra, verde salvia, malva empolvado. Elegancia discreta y etérea.","Tonos saturados o muy cálidos (naranjas, amarillos fuertes).","004AF4C7601 Flush & Bloom Stick Temptation, 0019A495701 Lip Grace Lipstick Twilight Zone, 006FF6E7801 Dream Paint Bronzer Sugar Cane ","lila empolvado, azul humo, beige grisáceo, topo rosado, malva gris","#C8A2C8, #B0C4DE, #C3B091, #B38B6D, #A3989D"
Verano Claro,"Piel clara fría, cabello rubio ceniza, ojos claros. Contraste bajo.","Aire etéreo y cristalino. Tu piel se ilumina con tonos claros y fríos que reflejan serenidad: lavandas, rosas y azules helados.","Tonos fríos claros y luminosos con base azul: lavanda clara, rosa pétalo, agua helado, gris perla, azul cielo. Dan un efecto fresco y cristalino.","Tonos oscuros o intensos (negros, burdeos, marrones).","004AF4C7601 Flush & Bloom Stick Blush, 0019A495701 Lip Grace Twilight Zone, 002B4786201 Ethereal Luminizer Stardust
","lavanda suave, aqua pálido, rosa pétalo, azul hielo, vainilla fría","#E6E6FA, #AFEEEE, #F8BBD0, #D1EAF0, #F0E68C"
Verano Frío,"Piel fría neutra-rosada, cabello rubio ceniza/castaño, ojos azules o grises. Contraste medio.","Elegancia serena. Los tonos fríos y medios equilibran tu piel y tu mirada: rosas frambuesa, malvas y lilas que revelan tu calma interior y te aportan un toque refinado.","Tonos fríos y medios con subtono rosado o azulado: frambuesa, ciruela rosada, malva, azul denim claro, rosa cuarzo frío. Refinamiento y equilibrio.","Naranjas, dorados y cálidos intensos.","004AF4C7601 Flush & Bloom Stick Blush, 001BF122001 Lip Grace Mystique Girl, 005D40A3901 Dream Paint Blush Chelsea, 00384555701 Lip Bloom Oil & Tint Ruby Vice","frambuesa, malva frío, lavanda profunda, azul polvo, rosa lila","#C71585, #9370DB, #6A5ACD, #B0C4DE, #D8BFD8"
Otoño Suave,"Piel cálida apagada, cabello castaño medio, ojos verdes/marrón suaves. Contraste bajo.","Cálida y envolvente. Tu belleza brilla con matices suaves, terrosos y naturales: beiges, oliva y cobre claro que te arropan y encienden tu rostro.","Tonos cálidos apagados y envolventes: beige arena, verde oliva suave, terracota mate, marrón miel, rosa melocotón apagado. Natural y acogedor.","Tonos fríos brillantes (fucsia, azul hielo, plata).","001B5494E01 Lip Grace Lipstick Kalahari, 003AF4B5501 Lip Bloom Oil & Tint Barbados, 006FF6E7801 Dream Paint Bronzer Sugar Cane , 002B4786201 Ethereal Luminizer Stick Highlighter Stardust","ámbar tostado, rosa té, verde oliva, beige cálido, cobre claro","#C68642, #BC8F8F, #8F9779, #D2B48C, #B87333"
Otoño Cálido,"Piel cálida dorada, cabello castaño/rojizo, ojos verdes cálidos o avellana.",Piel dorada y vibrante. Te favorecen los tonos ricos y especiados que evocan atardeceres cálidos.,"Tonos intensos y especiados: mostaza, calabaza, ámbar dorado, verde musgo, terracota rojiza. Inspirados en la luz de otoño.",Fríos o pasteles pálidos.,"003F0C3AA01 Lip Bloom Oil & Tint Clover Club, 006FF6E7801 Dream Paint Bronzer Sugar Cane, 002B4786201  Ethereal Luminizer Stardust","naranja quemado, marrón canela, óxido rojizo, bronce cálido, marrón tierra","#FF8C00, #A0522D, #C04000, #CD7F32, #8B4513"
Otoño Profundo,"Piel oliva o cálida media, cabello oscuro, ojos marrón/avellana profundo. Contraste alto.",Intensidad y magnetismo. Tus rasgos destacan con colores profundos y saturados que aportan misterio y fuerza.,"Tonos oscuros y saturados con calidez: vino cálido, burdeos tostado, verde bosque, marrón chocolate, cobre oscuro. Intensidad y magnetismo.","Tonos claros o fríos (lavandas, rosas bebé).","005D40A3901 Dream Paint Blush Chelsea, 003AF4B5501 Lip Bloom Oil & Tint Barbados, 006FF6E7801 Dream Paint Bronzer Sugar Cane, 001B5494E01 Lip Grace Kalahari","vino cálido, marrón oscuro, verde bosque, óxido oscuro, bronce envejecido","#8B0000, #654321, #556B2F, #993300, #483C32"
Invierno Brillante,"Piel clara fría, cabello oscuro, ojos claros intensos. Contraste máximo.","Alto contraste, mirada poderosa. Tu piel se realza con tonos joya fríos que que irradian fuerza y frescura.","Tonos joya fríos y saturados: fucsia, turquesa, rojo puro, azul zafiro, verde esmeralda fría. Contraste alto y presencia vibrante.","Tonos apagados o terrosos (camel, beige, oliva).","004AF4C7601 Flush & Bloom Stick Blush, 00384555701 Lip Bloom Oil & Tint Ruby Vice, 001BF122001 Lip Grace Mystique Girl, 006FF6E7801  Dream Paint Blush Chelsea","rojo carmín, turquesa, violeta intenso, azul cobalto, verde agua fría","#DC143C, #40E0D0, #8A2BE2, #0000CD, #00CED1"
